date,weather_code,daylight_duration,precipitation,temp_max_f
2024-01-01,3.0,9.31,0.0,45.0
2024-01-02,0.0,9.33,0.0,42.0
2024-01-03,3.0,9.34,0.0,45.0
2024-01-04,3.0,9.35,0.0,44.0
2024-01-05,3.0,9.37,0.0,37.0
2024-01-06,75.0,9.39,10.7,37.0
2024-01-07,73.0,9.4,6.6,37.0
2024-01-08,1.0,9.42,0.0,43.0
2024-01-09,63.0,9.44,37.1,56.0
2024-01-10,65.0,9.46,30.3,56.0
2024-01-11,3.0,9.48,0.0,46.0
2024-01-12,61.0,9.5,2.1,46.0
2024-01-13,65.0,9.52,24.5,58.0
2024-01-14,73.0,9.55,0.8,43.0
2024-01-15,73.0,9.57,1.3,30.0
2024-01-16,73.0,9.6,9.9,32.0
2024-01-17,0.0,9.63,0.0,24.0
2024-01-18,71.0,9.65,0.3,32.0
2024-01-19,73.0,9.68,2.4,30.0
2024-01-20,3.0,9.71,0.0,26.0
2024-01-21,2.0,9.74,0.0,29.0
2024-01-22,3.0,9.77,0.0,37.0
2024-01-23,53.0,9.8,1.7,40.0
2024-01-24,51.0,9.84,3.2,43.0
2024-01-25,61.0,9.87,8.1,54.0
2024-01-26,53.0,9.9,4.3,47.0
2024-01-27,3.0,9.93,0.0,47.0
2024-01-28,63.0,9.97,21.8,40.0
2024-01-29,51.0,10.0,0.6,42.0
2024-01-30,3.0,10.04,0.0,39.0
2024-01-31,71.0,10.07,0.4,40.0
2024-02-01,3.0,10.11,0.0,48.0
2024-02-02,55.0,10.15,6.8,42.0
2024-02-03,2.0,10.18,0.0,42.0
2024-02-04,0.0,10.22,0.0,45.0
2024-02-05,0.0,10.26,0.0,44.0
2024-02-06,0.0,10.3,0.0,42.0
2024-02-07,2.0,10.34,0.0,46.0
2024-02-08,3.0,10.38,0.0,49.0
2024-02-09,3.0,10.42,0.0,50.0
2024-02-10,51.0,10.46,0.2,60.0
2024-02-11,3.0,10.5,0.0,48.0
2024-02-12,73.0,10.54,0.6,48.0
2024-02-13,75.0,10.58,25.2,37.0
2024-02-14,1.0,10.62,0.0,34.0
2024-02-15,3.0,10.66,0.0,36.0
2024-02-16,71.0,10.71,0.1,41.0
2024-02-17,73.0,10.75,5.6,35.0
2024-02-18,0.0,10.79,0.0,40.0
2024-02-19,0.0,10.83,0.0,39.0
2024-02-20,1.0,10.88,0.0,36.0
2024-02-21,3.0,10.92,0.0,40.0
2024-02-22,51.0,10.96,0.3,42.0
2024-02-23,53.0,11.0,3.3,47.0
2024-02-24,3.0,11.05,0.0,43.0
2024-02-25,3.0,11.09,0.0,37.0
2024-02-26,73.0,11.14,0.9,50.0
2024-02-27,63.0,11.18,5.0,54.0
2024-02-28,63.0,11.22,10.6,61.0
2024-02-29,3.0,11.27,0.0,41.0
2024-03-01,3.0,11.31,0.0,41.0
2024-03-02,63.0,11.36,27.0,51.0
2024-03-03,3.0,11.4,0.0,66.0
2024-03-04,3.0,11.45,0.0,57.0
2024-03-05,63.0,11.49,18.6,48.0
2024-03-06,65.0,11.54,34.8,50.0
2024-03-07,55.0,11.58,2.7,54.0
2024-03-08,3.0,11.63,0.0,54.0
2024-03-09,65.0,11.68,33.9,48.0
2024-03-10,65.0,11.72,9.5,51.0
2024-03-11,3.0,11.77,0.0,50.0
2024-03-12,3.0,11.81,0.0,63.0
2024-03-13,3.0,11.85,0.0,58.0
2024-03-14,3.0,11.9,0.0,70.0
2024-03-15,53.0,11.94,0.7,71.0
2024-03-16,51.0,11.99,0.3,57.0
2024-03-17,51.0,12.04,0.4,60.0
2024-03-18,3.0,12.08,0.0,48.0
2024-03-19,71.0,12.13,0.4,45.0
2024-03-20,61.0,12.17,2.5,54.0
2024-03-21,3.0,12.22,0.0,42.0
2024-03-22,3.0,12.26,0.0,41.0
2024-03-23,65.0,12.31,63.2,51.0
2024-03-24,0.0,12.35,0.0,47.0
2024-03-25,0.0,12.4,0.0,49.0
2024-03-26,3.0,12.45,0.0,50.0
2024-03-27,51.0,12.49,0.6,52.0
2024-03-28,63.0,12.54,24.8,50.0
2024-03-29,51.0,12.58,0.2,55.0
2024-03-30,3.0,12.63,0.0,58.0
2024-03-31,51.0,12.67,0.2,61.0
2024-04-01,53.0,12.71,2.9,54.0
2024-04-02,63.0,12.76,18.8,48.0
2024-04-03,63.0,12.8,25.7,45.0
2024-04-04,63.0,12.85,5.6,48.0
2024-04-05,3.0,12.89,0.0,49.0
2024-04-06,51.0,12.94,0.2,52.0
2024-04-07,3.0,12.98,0.0,56.0
2024-04-08,3.0,13.02,0.0,64.0
2024-04-09,3.0,13.07,0.0,73.0
